# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Odometry Data Fomat:
# Time [s]    forward velocity [m/s]    angular velocity[rad/s] 
1248294061.561 	  0.086 	 -0.398 
1248294061.612 	  0.086 	 -0.398 
1248294061.633 	  0.086 	 -0.398 
1248294061.673 	  0.086 	 -0.398 
1248294061.694 	  0.086 	 -0.398 
1248294061.735 	  0.086 	 -0.398 
1248294061.746 	  0.086 	 -0.398 
1248294061.786 	  0.086 	 -0.398 
1248294061.797 	  0.086 	 -0.398 
1248294061.828 	  0.086 	 -0.398 
1248294061.858 	  0.086 	 -0.398 
1248294061.879 	  0.086 	 -0.398 
1248294061.889 	  0.086 	 -0.398 
1248294061.920 	  0.086 	 -0.398 
1248294061.940 	  0.086 	 -0.398 
1248294061.981 	  0.086 	 -0.398 
1248294062.012 	  0.000 	  0.000 
1248294062.022 	  0.000 	  0.000 
1248294062.033 	  0.086 	 -0.398 
1248294062.053 	  0.086 	 -0.398 
1248294062.074 	  0.086 	 -0.398 
1248294062.125 	  0.086 	 -0.398 
1248294062.135 	  0.086 	 -0.398 
1248294062.186 	  0.086 	 -0.398 
1248294062.197 	  0.086 	 -0.398 
1248294062.227 	  0.086 	 -0.398 
1248294062.238 	  0.086 	 -0.398 
1248294062.268 	  0.086 	 -0.398 
1248294062.289 	  0.086 	 -0.398 
1248294062.330 	  0.086 	 -0.398 
1248294062.340 	  0.086 	 -0.398 
1248294062.381 	  0.086 	 -0.398 
1248294062.422 	  0.086 	 -0.398 
1248294062.433 	  0.086 	 -0.398 
1248294062.484 	  0.086 	 -0.398 
1248294062.494 	  0.086 	 -0.398 
1248294062.525 	  0.086 	 -0.398 
1248294062.546 	  0.086 	 -0.398 
1248294062.576 	  0.086 	 -0.398 
1248294062.607 	  0.086 	 -0.398 
1248294062.627 	  0.086 	 -0.398 
1248294062.638 	  0.086 	 -0.398 
1248294062.689 	  0.086 	 -0.398 
1248294062.699 	  0.086 	 -0.398 
1248294062.730 	  0.086 	 -0.398 
1248294062.741 	  0.086 	 -0.398 
1248294062.761 	  0.086 	 -0.398 
1248294062.772 	  0.086 	 -0.398 
1248294062.812 	  0.086 	 -0.398 
1248294062.873 	  0.086 	 -0.398 
1248294062.904 	  0.086 	 -0.398 
1248294062.934 	  0.086 	 -0.398 
1248294062.955 	  0.086 	 -0.398 
1248294062.975 	  0.086 	 -0.398 
1248294063.005 	  0.000 	  0.000 
1248294063.016 	  0.086 	 -0.398 
