# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Robot Groundtruth Data Fomat:
# Time [s]    x [m]    y [m]    orientation [rad] 
1248297543.422 	 0.64969430 	 -1.13670020 	 0.83510000 
1248297543.439 	 0.64970990 	 -1.13668520 	 0.83510000 
1248297543.441 	 0.64971340 	 -1.13667510 	 0.83510000 
1248297543.456 	 0.64970250 	 -1.13667220 	 0.83500000 
1248297543.464 	 0.64966940 	 -1.13666900 	 0.83490000 
1248297543.472 	 0.64964070 	 -1.13667590 	 0.83490000 
1248297543.489 	 0.64964280 	 -1.13669110 	 0.83490000 
1248297543.491 	 0.64964630 	 -1.13670710 	 0.83500000 
1248297543.506 	 0.64964660 	 -1.13672080 	 0.83500000 
1248297543.508 	 0.64965810 	 -1.13673700 	 0.83500000 
1248297543.522 	 0.64966130 	 -1.13674820 	 0.83500000 
1248297543.539 	 0.64966720 	 -1.13675050 	 0.83510000 
1248297543.541 	 0.64969650 	 -1.13674670 	 0.83500000 
1248297543.556 	 0.64972420 	 -1.13673660 	 0.83500000 
1248297543.558 	 0.64973360 	 -1.13671770 	 0.83500000 
1248297543.572 	 0.64972480 	 -1.13670390 	 0.83500000 
1248297543.589 	 0.64970100 	 -1.13668900 	 0.83490000 
1248297543.594 	 0.64965820 	 -1.13666950 	 0.83490000 
1248297543.606 	 0.64962200 	 -1.13665660 	 0.83490000 
1248297543.608 	 0.64960650 	 -1.13665180 	 0.83490000 
1248297543.623 	 0.64960630 	 -1.13665760 	 0.83510000 
1248297543.639 	 0.64961700 	 -1.13667150 	 0.83510000 
1248297543.644 	 0.64963660 	 -1.13668120 	 0.83510000 
1248297543.656 	 0.64964660 	 -1.13667640 	 0.83520000 
1248297543.658 	 0.64966300 	 -1.13667330 	 0.83520000 
1248297543.673 	 0.64970190 	 -1.13667950 	 0.83520000 
1248297543.689 	 0.64972480 	 -1.13668350 	 0.83520000 
1248297543.691 	 0.64973090 	 -1.13669550 	 0.83510000 
1248297543.706 	 0.64971010 	 -1.13670490 	 0.83500000 
1248297543.708 	 0.64968090 	 -1.13671690 	 0.83480000 
1248297543.723 	 0.64965480 	 -1.13672830 	 0.83470000 
1248297543.740 	 0.64965680 	 -1.13674250 	 0.83460000 
