# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Robot Groundtruth Data Fomat:
# Time [s]    x [m]    y [m]    orientation [rad] 
1248297543.422 	 1.59874500 	 2.91590150 	 -0.29540000 
1248297543.439 	 1.59875870 	 2.91591490 	 -0.29540000 
1248297543.441 	 1.59876790 	 2.91591410 	 -0.29540000 
1248297543.456 	 1.59876680 	 2.91589940 	 -0.29540000 
1248297543.464 	 1.59875580 	 2.91587730 	 -0.29550000 
1248297543.472 	 1.59874410 	 2.91585730 	 -0.29550000 
1248297543.489 	 1.59873590 	 2.91584290 	 -0.29560000 
1248297543.491 	 1.59873330 	 2.91582930 	 -0.29560000 
1248297543.506 	 1.59873490 	 2.91581110 	 -0.29570000 
1248297543.508 	 1.59873680 	 2.91579010 	 -0.29570000 
1248297543.522 	 1.59873860 	 2.91577110 	 -0.29580000 
1248297543.539 	 1.59874060 	 2.91576120 	 -0.29590000 
1248297543.541 	 1.59874080 	 2.91576360 	 -0.29600000 
1248297543.556 	 1.59874130 	 2.91576970 	 -0.29600000 
1248297543.558 	 1.59874240 	 2.91577050 	 -0.29600000 
1248297543.572 	 1.59873990 	 2.91576720 	 -0.29600000 
1248297543.589 	 1.59873200 	 2.91576670 	 -0.29600000 
1248297543.594 	 1.59872280 	 2.91577820 	 -0.29600000 
1248297543.606 	 1.59871760 	 2.91580140 	 -0.29580000 
1248297543.608 	 1.59872350 	 2.91582530 	 -0.29560000 
1248297543.623 	 1.59874090 	 2.91584110 	 -0.29550000 
1248297543.639 	 1.59875940 	 2.91584970 	 -0.29540000 
1248297543.644 	 1.59876870 	 2.91585980 	 -0.29540000 
1248297543.656 	 1.59877230 	 2.91587580 	 -0.29540000 
1248297543.658 	 1.59877580 	 2.91589410 	 -0.29540000 
1248297543.673 	 1.59878830 	 2.91590740 	 -0.29540000 
1248297543.689 	 1.59880240 	 2.91590980 	 -0.29550000 
1248297543.691 	 1.59880370 	 2.91589370 	 -0.29550000 
1248297543.706 	 1.59878130 	 2.91585870 	 -0.29560000 
1248297543.708 	 1.59875370 	 2.91581320 	 -0.29570000 
1248297543.723 	 1.59872970 	 2.91577430 	 -0.29580000 
1248297543.740 	 1.59870990 	 2.91575060 	 -0.29590000 
1248297543.742 	 1.59869370 	 2.91573890 	 -0.29590000 
1248297543.756 	 1.59867620 	 2.91572620 	 -0.29590000 
1248297543.764 	 1.59865940 	 2.91571410 	 -0.29590000 
